month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Sqft
2012-10,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,01 TO 03,124,Improved,1995,,698000,1335
2012-10,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,10 TO 12,124,Improved,1995,,740000,1335
2013-07,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,04 TO 06,124,Improved,1995,,735000,1335
2013-11,TOA PAYOH,4 ROOM,171,LOR 1 TOA PAYOH,01 TO 03,103,Model A,1995,,555000,1109
2015-10,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,07 TO 09,124,Improved,1995,78,688888,1335
2015-12,TOA PAYOH,4 ROOM,171,LOR 1 TOA PAYOH,07 TO 09,104,Model A,1995,78,572000,1119
2016-07,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,07 TO 09,124,Improved,1995,77,700000,1335
2017-03,TOA PAYOH,4 ROOM,171,LOR 1 TOA PAYOH,04 TO 06,103,Model A,1995,77 years 01 month,538000,1109
2017-05,TOA PAYOH,4 ROOM,171,LOR 1 TOA PAYOH,01 TO 03,104,Model A,1995,77 years,542000,1119
2017-05,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,04 TO 06,124,Improved,1995,76 years 11 months,623000,1335
2017-08,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,04 TO 06,125,Improved,1995,76 years 09 months,700000,1345
2017-09,TOA PAYOH,4 ROOM,171,LOR 1 TOA PAYOH,07 TO 09,104,Model A,1995,76 years 07 months,570000,1119
2017-11,TOA PAYOH,4 ROOM,171,LOR 1 TOA PAYOH,13 TO 15,106,Model A,1995,76 years 05 months,620000,1141
2018-08,TOA PAYOH,4 ROOM,171,LOR 1 TOA PAYOH,13 TO 15,106,Model A,1995,75 years 08 months,595000,1141
2018-08,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,10 TO 12,124,Improved,1995,75 years 09 months,720000,1335
2018-09,TOA PAYOH,4 ROOM,171,LOR 1 TOA PAYOH,10 TO 12,105,Model A,1995,75 years 08 months,610000,1130
2019-10,TOA PAYOH,4 ROOM,171,LOR 1 TOA PAYOH,01 TO 03,105,Model A,1995,74 years 07 months,480000,1130
2021-02,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,16 TO 18,124,Improved,1995,73 years 02 months,880000,1335
2021-03,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,19 TO 21,121,Improved,1995,73 years 01 month,808000,1302
2021-06,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,07 TO 09,121,Improved,1995,72 years 11 months,835000,1302
2021-06,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,07 TO 09,124,Improved,1995,72 years 11 months,800000,1335