project_name,address,postal_code,postal_district,num_of_units,area_sqm,area_sqft,area_type,transaction_price_dollars,nett_price_dollars,unit_price_psm_dollars,unit_price_psf_dollars,sale_date,property_type,property_tenure,completion_top_date,sale_type,purchaser_address_indicator
ZENITH,60 ZION ROAD #13-05,247785,10,1,228,2454.19,Strata,2950000,-,12939,1202,23/12/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #05-05,247785,10,1,52,559.73,Strata,1150000,-,22115,2055,03/12/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #03-01,247785,10,1,55,592.02,Strata,1080000,-,19636,1824,03/12/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #03-08,247785,10,1,44,473.62,Strata,910000,-,20682,1921,30/09/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #11-07,247785,10,1,105,1130.22,Strata,1680000,-,16000,1486,19/03/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #09-03,247785,10,1,69,742.72,Strata,1400000,-,20290,1885,18/02/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #03-07,247785,10,1,105,1130.22,Strata,1670000,-,15905,1478,03/12/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #06-06,247785,10,1,69,742.72,Strata,1420000,-,20580,1912,08/10/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #02-02,247785,10,1,72,775.01,Strata,1310000,-,18194,1690,31/08/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #10-07,247785,10,1,105,1130.22,Strata,1800000,-,17143,1593,05/08/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #05-06,247785,10,1,69,742.72,Strata,1388000,-,20116,1869,23/06/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #06-02,247785,10,1,72,775.01,Strata,1435000,-,19931,1852,15/06/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #11-03,247785,10,1,69,742.72,Strata,1490000,-,21594,2006,01/11/2019,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #04-05,247785,10,1,52,559.73,Strata,1015000,-,19519,1813,20/03/2019,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #04-07,247785,10,1,105,1130.22,Strata,1688000,-,16076,1494,01/10/2018,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #08-07,247785,10,1,105,1130.22,Strata,1720000,-,16381,1522,18/06/2018,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #07-04,247785,10,1,52,559.73,Strata,1080000,-,20769,1930,01/06/2018,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #12-02,247785,10,1,72,775.01,Strata,1480000,-,20556,1910,17/05/2018,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #08-02,247785,10,1,72,775.01,Strata,1500000,-,20833,1935,15/05/2018,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #03-01,247785,10,1,55,592.02,Strata,980000,-,17818,1655,08/11/2017,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #07-02,247785,10,1,72,775.01,Strata,1300000,-,18056,1677,24/07/2017,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #10-04,247785,10,1,52,559.73,Strata,998000,-,19192,1783,11/07/2017,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #05-02,247785,10,1,72,775.01,Strata,1285000,-,17847,1658,01/06/2017,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #06-07,247785,10,1,105,1130.22,Strata,1520000,-,14476,1345,21/12/2016,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #12-06,247785,10,1,69,742.72,Strata,1300000,-,18841,1750,05/10/2016,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #07-06,247785,10,1,69,742.72,Strata,1290000,-,18696,1737,30/08/2016,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #09-07,247785,10,1,105,1130.22,Strata,1408000,-,13410,1246,03/08/2016,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #05-03,247785,10,1,69,742.72,Strata,1275000,-,18478,1717,18/03/2016,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #04-04,247785,10,1,52,559.73,Strata,990000,-,19038,1769,30/04/2015,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #10-05,247785,10,1,52,559.73,Strata,1039998,-,20000,1858,29/01/2015,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #07-05,247785,10,1,52,559.73,Strata,1110000,-,21346,1983,03/12/2013,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #07-01,247785,10,1,55,592.02,Strata,1170000,-,21273,1976,14/06/2013,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #04-06,247785,10,1,69,742.72,Strata,1480000,-,21449,1993,30/04/2013,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #03-07,247785,10,1,105,1130.22,Strata,1900000,-,18095,1681,18/04/2013,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #06-03,247785,10,1,69,742.72,Strata,1420000,-,20580,1912,01/04/2013,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #08-05,247785,10,1,52,559.73,Strata,1063000,-,20442,1899,04/03/2013,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #08-01,247785,10,1,55,592.02,Strata,1070000,-,19455,1807,28/01/2013,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #03-08,247785,10,1,44,473.62,Strata,912000,-,20727,1926,15/11/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #11-08,247785,10,1,44,473.62,Strata,950000,-,21591,2006,24/10/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #04-08,247785,10,1,44,473.62,Strata,900000,-,20455,1900,19/10/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #11-05,247785,10,1,52,559.73,Strata,1080000,-,20769,1930,19/10/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #09-02,247785,10,1,72,775.01,Strata,1420000,-,19722,1832,17/10/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #05-06,247785,10,1,69,742.72,Strata,1450000,-,21014,1952,28/09/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #04-03,247785,10,1,69,742.72,Strata,1390000,-,20145,1872,14/08/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #09-06,247785,10,1,69,742.72,Strata,1500000,-,21739,2020,31/07/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #12-01,247785,10,1,55,592.02,Strata,1060000,-,19273,1790,27/02/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #11-06,247785,10,1,70,753.48,Strata,1470000,-,21000,1951,22/08/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #08-04,247785,10,1,53,570.49,Strata,1040000,-,19623,1823,11/08/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #05-01,247785,10,1,55,592.02,Strata,1080000,-,19636,1824,29/07/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #09-04,247785,10,1,53,570.49,Strata,1064000,-,20075,1865,22/07/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,HDB
ZENITH,60 ZION ROAD #10-08,247785,10,1,44,473.62,Strata,888000,-,20182,1875,18/07/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #09-08,247785,10,1,44,473.62,Strata,900000,-,20455,1900,01/07/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #09-05,247785,10,1,53,570.49,Strata,965000,-,18208,1692,18/04/2011,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,HDB
ZENITH,60 ZION ROAD #04-05,247785,10,1,52,559.73,Strata,888888,-,17094,1588,07/01/2011,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,Private
ZENITH,60 ZION ROAD #12-03,247785,10,1,70,753.48,Strata,1385000,-,19786,1838,05/01/2011,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,Private
ZENITH,60 ZION ROAD #07-08,247785,10,1,44,473.62,Strata,720000,-,16364,1520,07/07/2010,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,Private
ZENITH,60 ZION ROAD #13-03,247785,10,1,228,2454.19,Strata,2880000,-,12632,1174,27/04/2010,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #13-05,247785,10,1,228,2454.19,Strata,2700000,-,11842,1100,23/04/2010,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #05-04,247785,10,1,53,570.49,Strata,796000,-,15019,1395,06/11/2009,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,Private
ZENITH,60 ZION ROAD #04-07,247785,10,1,105,1130.22,Strata,1356000,-,12914,1200,24/07/2009,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #06-06,247785,10,1,70,753.48,Strata,1054200,-,15060,1399,24/07/2009,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #03-07,247785,10,1,105,1130.22,Strata,1356000,-,12914,1200,17/06/2009,Apartment,999 yrs from 21/06/1877,2011,New Sale,HDB
ZENITH,60 ZION ROAD #03-04,247785,10,1,53,570.49,Strata,680000,-,12830,1192,12/05/2009,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #04-04,247785,10,1,52,559.73,Strata,684000,-,13154,1222,12/05/2009,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #02-02,247785,10,1,72,775.01,Strata,900000,-,12500,1161,23/03/2009,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #05-04,247785,10,1,53,570.49,Strata,875000,-,16509,1534,13/10/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #07-02,247785,10,1,72,775.01,Strata,1310000,-,18194,1690,29/08/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,Private
ZENITH,60 ZION ROAD #08-02,247785,10,1,72,775.01,Strata,1305093,-,18126,1684,15/07/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,HDB
ZENITH,60 ZION ROAD #07-04,247785,10,1,52,559.73,Strata,981874,-,18882,1754,15/07/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #03-02,247785,10,1,72,775.01,Strata,1310000,-,18194,1690,10/06/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #13-01,247785,10,1,232,2497.25,Strata,3771450,-,16256,1510,30/05/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #09-04,247785,10,1,53,570.49,Strata,989562,-,18671,1735,30/05/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #06-04,247785,10,1,53,570.49,Strata,978029,-,18453,1714,30/05/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #03-03,247785,10,1,70,753.48,Strata,1313067,-,18758,1743,30/05/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #11-04,247785,10,1,53,570.49,Strata,1000000,-,18868,1753,28/05/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #10-04,247785,10,1,52,559.73,Strata,963603,-,18531,1722,16/05/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #05-05,247785,10,1,53,570.49,Strata,974185,-,18381,1708,08/05/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #02-01,247785,10,1,55,592.02,Strata,918249,-,16695,1551,08/05/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #03-05,247785,10,1,53,570.49,Strata,966498,-,18236,1694,08/05/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #04-02,247785,10,1,72,775.01,Strata,1324550,-,18397,1709,24/04/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #06-05,247785,10,1,53,570.49,Strata,975000,-,18396,1709,22/04/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #04-03,247785,10,1,69,742.72,Strata,1267000,-,18362,1706,03/04/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #05-02,247785,10,1,72,775.01,Strata,1329777,-,18469,1716,25/03/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #12-04,247785,10,1,53,570.49,Strata,993000,-,18736,1741,25/03/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #12-05,247785,10,1,53,570.49,Strata,1000000,-,18868,1753,14/03/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #11-06,247785,10,1,70,753.48,Strata,1353692,-,19338,1797,14/03/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #06-02,247785,10,1,72,775.01,Strata,1301206,-,18072,1679,11/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #03-08,247785,10,1,44,473.62,Strata,756666,-,17197,1598,06/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #11-03,247785,10,1,69,742.72,Strata,1319421,-,19122,1776,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #12-07,247785,10,1,105,1130.22,Strata,1862226,-,17735,1648,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #07-05,247785,10,1,52,559.73,Strata,957016,-,18404,1710,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #08-04,247785,10,1,53,570.49,Strata,960763,-,18128,1684,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #05-03,247785,10,1,69,742.72,Strata,1289724,-,18692,1736,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #10-07,247785,10,1,105,1130.22,Strata,1899709,-,18092,1681,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #04-06,247785,10,1,69,742.72,Strata,1318145,-,19104,1775,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #09-03,247785,10,1,70,753.48,Strata,1309522,-,18707,1738,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #11-08,247785,10,1,44,473.62,Strata,785152,-,17844,1658,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #10-05,247785,10,1,52,559.73,Strata,968256,-,18620,1730,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #03-01,247785,10,1,55,592.02,Strata,898338,-,16333,1517,05/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #04-08,247785,10,1,44,473.62,Strata,760227,-,17278,1605,01/02/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #08-05,247785,10,1,52,559.73,Strata,960763,-,18476,1716,31/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #09-05,247785,10,1,53,570.49,Strata,964510,-,18198,1691,31/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #06-07,247785,10,1,105,1130.22,Strata,1877936,-,17885,1662,31/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #05-06,247785,10,1,69,742.72,Strata,1289724,-,18692,1736,29/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #08-07,247785,10,1,105,1130.22,Strata,1841004,-,17533,1629,29/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #10-08,247785,10,1,44,473.62,Strata,781591,-,17763,1650,29/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #09-08,247785,10,1,44,473.62,Strata,778031,-,17683,1643,29/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #10-03,247785,10,1,70,753.48,Strata,1314472,-,18778,1745,24/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #09-07,247785,10,1,105,1130.22,Strata,1790920,-,17056,1585,22/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #11-07,247785,10,1,105,1130.22,Strata,1856921,-,17685,1643,22/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #07-07,247785,10,1,105,1130.22,Strata,1835699,-,17483,1624,22/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #05-07,247785,10,1,105,1130.22,Strata,1825088,-,17382,1615,22/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #08-03,247785,10,1,70,753.48,Strata,1304573,-,18637,1731,21/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #09-02,247785,10,1,72,775.01,Strata,1316489,-,18285,1699,21/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #10-06,247785,10,1,70,753.48,Strata,1314472,-,18778,1745,21/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #07-03,247785,10,1,70,753.48,Strata,1299623,-,18566,1725,21/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #06-01,247785,10,1,55,592.02,Strata,908345,-,16515,1534,17/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #07-02,247785,10,1,72,775.01,Strata,1306300,-,18143,1686,16/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #07-06,247785,10,1,69,742.72,Strata,1299623,-,18835,1750,16/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #08-02,247785,10,1,72,775.01,Strata,1311395,-,18214,1692,16/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #12-06,247785,10,1,69,742.72,Strata,1324371,-,19194,1783,16/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #08-08,247785,10,1,44,473.62,Strata,774470,-,17602,1635,16/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #11-02,247785,10,1,72,775.01,Strata,1326677,-,18426,1712,16/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #09-06,247785,10,1,69,742.72,Strata,1309522,-,18979,1763,16/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #12-03,247785,10,1,70,753.48,Strata,1324371,-,18920,1758,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #06-08,247785,10,1,44,473.62,Strata,767348,-,17440,1620,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #10-02,247785,10,1,72,775.01,Strata,1321583,-,18355,1705,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #06-03,247785,10,1,69,742.72,Strata,1294673,-,18763,1743,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #12-01,247785,10,1,55,592.02,Strata,928357,-,16879,1568,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #10-01,247785,10,1,55,592.02,Strata,921686,-,16758,1557,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #09-01,247785,10,1,55,592.02,Strata,918351,-,16697,1551,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #11-01,247785,10,1,55,592.02,Strata,925022,-,16819,1562,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #03-06,247785,10,1,70,753.48,Strata,1279825,-,18283,1699,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #05-08,247785,10,1,44,473.62,Strata,763787,-,17359,1613,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #12-02,247785,10,1,72,775.01,Strata,1331771,-,18497,1718,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #08-06,247785,10,1,70,753.48,Strata,1304573,-,18637,1731,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #08-01,247785,10,1,55,592.02,Strata,915015,-,16637,1546,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #07-01,247785,10,1,55,592.02,Strata,911680,-,16576,1540,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #05-01,247785,10,1,55,592.02,Strata,905009,-,16455,1529,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
ZENITH,60 ZION ROAD #11-05,247785,10,1,52,559.73,Strata,972003,-,18692,1737,10/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #12-08,247785,10,1,44,473.62,Strata,788713,-,17925,1665,08/01/2008,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB